,boot_type,targeted_structure,noise_type,rdm_comparison,n_cell,n_subj,n_stim,n_repeat,finished
0,both,VISal,eye,cosine,10,5,10,5,0
1,both,VISal,eye,cosine,10,5,10,10,0
2,both,VISal,eye,cosine,10,5,10,20,0
3,both,VISal,eye,cosine,10,5,10,40,0
4,both,VISal,eye,cosine,10,5,20,5,0
5,both,VISal,eye,cosine,10,5,20,10,0
6,both,VISal,eye,cosine,10,5,20,20,0
7,both,VISal,eye,cosine,10,5,20,40,0
8,both,VISal,eye,cosine,10,5,40,5,0
9,both,VISal,eye,cosine,10,5,40,10,0
10,both,VISal,eye,cosine,10,5,40,20,0
11,both,VISal,eye,cosine,10,5,40,40,0
12,both,VISal,eye,cosine,10,10,10,5,0
13,both,VISal,eye,cosine,10,10,10,10,0
14,both,VISal,eye,cosine,10,10,10,20,0
15,both,VISal,eye,cosine,10,10,10,40,0
16,both,VISal,eye,cosine,10,10,20,5,0
17,both,VISal,eye,cosine,10,10,20,10,0
18,both,VISal,eye,cosine,10,10,20,20,0
19,both,VISal,eye,cosine,10,10,20,40,0
20,both,VISal,eye,cosine,10,10,40,5,0
21,both,VISal,eye,cosine,10,10,40,10,0
22,both,VISal,eye,cosine,10,10,40,20,0
23,both,VISal,eye,cosine,10,10,40,40,0
24,both,VISal,eye,cosine,10,15,10,5,0
25,both,VISal,eye,cosine,10,15,10,10,0
26,both,VISal,eye,cosine,10,15,10,20,0
27,both,VISal,eye,cosine,10,15,10,40,0
28,both,VISal,eye,cosine,10,15,20,5,0
29,both,VISal,eye,cosine,10,15,20,10,0
30,both,VISal,eye,cosine,10,15,20,20,0
31,both,VISal,eye,cosine,10,15,20,40,0
32,both,VISal,eye,cosine,10,15,40,5,0
33,both,VISal,eye,cosine,10,15,40,10,0
34,both,VISal,eye,cosine,10,15,40,20,0
35,both,VISal,eye,cosine,10,15,40,40,0
36,both,VISal,eye,cosine,20,5,10,5,0
37,both,VISal,eye,cosine,20,5,10,10,0
38,both,VISal,eye,cosine,20,5,10,20,0
39,both,VISal,eye,cosine,20,5,10,40,0
40,both,VISal,eye,cosine,20,5,20,5,0
41,both,VISal,eye,cosine,20,5,20,10,0
42,both,VISal,eye,cosine,20,5,20,20,0
43,both,VISal,eye,cosine,20,5,20,40,0
44,both,VISal,eye,cosine,20,5,40,5,0
45,both,VISal,eye,cosine,20,5,40,10,0
46,both,VISal,eye,cosine,20,5,40,20,0
47,both,VISal,eye,cosine,20,5,40,40,0
48,both,VISal,eye,cosine,20,10,10,5,0
49,both,VISal,eye,cosine,20,10,10,10,0
50,both,VISal,eye,cosine,20,10,10,20,0
51,both,VISal,eye,cosine,20,10,10,40,0
52,both,VISal,eye,cosine,20,10,20,5,0
53,both,VISal,eye,cosine,20,10,20,10,0
54,both,VISal,eye,cosine,20,10,20,20,0
55,both,VISal,eye,cosine,20,10,20,40,0
56,both,VISal,eye,cosine,20,10,40,5,0
57,both,VISal,eye,cosine,20,10,40,10,0
58,both,VISal,eye,cosine,20,10,40,20,0
59,both,VISal,eye,cosine,20,10,40,40,0
60,both,VISal,eye,cosine,20,15,10,5,0
61,both,VISal,eye,cosine,20,15,10,10,0
62,both,VISal,eye,cosine,20,15,10,20,0
63,both,VISal,eye,cosine,20,15,10,40,0
64,both,VISal,eye,cosine,20,15,20,5,0
65,both,VISal,eye,cosine,20,15,20,10,0
66,both,VISal,eye,cosine,20,15,20,20,0
67,both,VISal,eye,cosine,20,15,20,40,0
68,both,VISal,eye,cosine,20,15,40,5,0
69,both,VISal,eye,cosine,20,15,40,10,0
70,both,VISal,eye,cosine,20,15,40,20,0
71,both,VISal,eye,cosine,20,15,40,40,0
72,both,VISal,eye,cosine,40,5,10,5,0
73,both,VISal,eye,cosine,40,5,10,10,0
74,both,VISal,eye,cosine,40,5,10,20,0
75,both,VISal,eye,cosine,40,5,10,40,0
76,both,VISal,eye,cosine,40,5,20,5,0
77,both,VISal,eye,cosine,40,5,20,10,0
78,both,VISal,eye,cosine,40,5,20,20,0
79,both,VISal,eye,cosine,40,5,20,40,0
80,both,VISal,eye,cosine,40,5,40,5,0
81,both,VISal,eye,cosine,40,5,40,10,0
82,both,VISal,eye,cosine,40,5,40,20,0
83,both,VISal,eye,cosine,40,5,40,40,0
84,both,VISal,eye,cosine,40,10,10,5,0
85,both,VISal,eye,cosine,40,10,10,10,0
86,both,VISal,eye,cosine,40,10,10,20,0
87,both,VISal,eye,cosine,40,10,10,40,0
88,both,VISal,eye,cosine,40,10,20,5,0
89,both,VISal,eye,cosine,40,10,20,10,0
90,both,VISal,eye,cosine,40,10,20,20,0
91,both,VISal,eye,cosine,40,10,20,40,0
92,both,VISal,eye,cosine,40,10,40,5,0
93,both,VISal,eye,cosine,40,10,40,10,0
94,both,VISal,eye,cosine,40,10,40,20,0
95,both,VISal,eye,cosine,40,10,40,40,0
96,both,VISal,eye,cosine,40,15,10,5,0
97,both,VISal,eye,cosine,40,15,10,10,0
98,both,VISal,eye,cosine,40,15,10,20,0
99,both,VISal,eye,cosine,40,15,10,40,0
100,both,VISal,eye,cosine,40,15,20,5,0
101,both,VISal,eye,cosine,40,15,20,10,0
102,both,VISal,eye,cosine,40,15,20,20,0
103,both,VISal,eye,cosine,40,15,20,40,0
104,both,VISal,eye,cosine,40,15,40,5,0
105,both,VISal,eye,cosine,40,15,40,10,0
106,both,VISal,eye,cosine,40,15,40,20,0
107,both,VISal,eye,cosine,40,15,40,40,0
108,both,VISal,eye,corr,10,5,10,5,0
109,both,VISal,eye,corr,10,5,10,10,0
110,both,VISal,eye,corr,10,5,10,20,0
111,both,VISal,eye,corr,10,5,10,40,0
112,both,VISal,eye,corr,10,5,20,5,0
113,both,VISal,eye,corr,10,5,20,10,0
114,both,VISal,eye,corr,10,5,20,20,0
115,both,VISal,eye,corr,10,5,20,40,0
116,both,VISal,eye,corr,10,5,40,5,0
117,both,VISal,eye,corr,10,5,40,10,0
118,both,VISal,eye,corr,10,5,40,20,0
119,both,VISal,eye,corr,10,5,40,40,0
120,both,VISal,eye,corr,10,10,10,5,0
121,both,VISal,eye,corr,10,10,10,10,0
122,both,VISal,eye,corr,10,10,10,20,0
123,both,VISal,eye,corr,10,10,10,40,0
124,both,VISal,eye,corr,10,10,20,5,0
125,both,VISal,eye,corr,10,10,20,10,0
126,both,VISal,eye,corr,10,10,20,20,0
127,both,VISal,eye,corr,10,10,20,40,0
128,both,VISal,eye,corr,10,10,40,5,0
129,both,VISal,eye,corr,10,10,40,10,0
130,both,VISal,eye,corr,10,10,40,20,0
131,both,VISal,eye,corr,10,10,40,40,0
132,both,VISal,eye,corr,10,15,10,5,0
133,both,VISal,eye,corr,10,15,10,10,0
134,both,VISal,eye,corr,10,15,10,20,0
135,both,VISal,eye,corr,10,15,10,40,0
136,both,VISal,eye,corr,10,15,20,5,0
137,both,VISal,eye,corr,10,15,20,10,0
138,both,VISal,eye,corr,10,15,20,20,0
139,both,VISal,eye,corr,10,15,20,40,0
140,both,VISal,eye,corr,10,15,40,5,0
141,both,VISal,eye,corr,10,15,40,10,0
142,both,VISal,eye,corr,10,15,40,20,0
143,both,VISal,eye,corr,10,15,40,40,0
144,both,VISal,eye,corr,20,5,10,5,0
145,both,VISal,eye,corr,20,5,10,10,0
146,both,VISal,eye,corr,20,5,10,20,0
147,both,VISal,eye,corr,20,5,10,40,0
148,both,VISal,eye,corr,20,5,20,5,0
149,both,VISal,eye,corr,20,5,20,10,0
150,both,VISal,eye,corr,20,5,20,20,0
151,both,VISal,eye,corr,20,5,20,40,0
152,both,VISal,eye,corr,20,5,40,5,0
153,both,VISal,eye,corr,20,5,40,10,0
154,both,VISal,eye,corr,20,5,40,20,0
155,both,VISal,eye,corr,20,5,40,40,0
156,both,VISal,eye,corr,20,10,10,5,0
157,both,VISal,eye,corr,20,10,10,10,0
158,both,VISal,eye,corr,20,10,10,20,0
159,both,VISal,eye,corr,20,10,10,40,0
160,both,VISal,eye,corr,20,10,20,5,0
161,both,VISal,eye,corr,20,10,20,10,0
162,both,VISal,eye,corr,20,10,20,20,0
163,both,VISal,eye,corr,20,10,20,40,0
164,both,VISal,eye,corr,20,10,40,5,0
165,both,VISal,eye,corr,20,10,40,10,0
166,both,VISal,eye,corr,20,10,40,20,0
167,both,VISal,eye,corr,20,10,40,40,0
168,both,VISal,eye,corr,20,15,10,5,0
169,both,VISal,eye,corr,20,15,10,10,0
170,both,VISal,eye,corr,20,15,10,20,0
171,both,VISal,eye,corr,20,15,10,40,0
172,both,VISal,eye,corr,20,15,20,5,0
173,both,VISal,eye,corr,20,15,20,10,0
174,both,VISal,eye,corr,20,15,20,20,0
175,both,VISal,eye,corr,20,15,20,40,0
176,both,VISal,eye,corr,20,15,40,5,0
177,both,VISal,eye,corr,20,15,40,10,0
178,both,VISal,eye,corr,20,15,40,20,0
179,both,VISal,eye,corr,20,15,40,40,0
180,both,VISal,eye,corr,40,5,10,5,0
181,both,VISal,eye,corr,40,5,10,10,0
182,both,VISal,eye,corr,40,5,10,20,0
183,both,VISal,eye,corr,40,5,10,40,0
184,both,VISal,eye,corr,40,5,20,5,0
185,both,VISal,eye,corr,40,5,20,10,0
186,both,VISal,eye,corr,40,5,20,20,0
187,both,VISal,eye,corr,40,5,20,40,0
188,both,VISal,eye,corr,40,5,40,5,0
189,both,VISal,eye,corr,40,5,40,10,0
190,both,VISal,eye,corr,40,5,40,20,0
191,both,VISal,eye,corr,40,5,40,40,0
192,both,VISal,eye,corr,40,10,10,5,0
193,both,VISal,eye,corr,40,10,10,10,0
194,both,VISal,eye,corr,40,10,10,20,0
195,both,VISal,eye,corr,40,10,10,40,0
196,both,VISal,eye,corr,40,10,20,5,0
197,both,VISal,eye,corr,40,10,20,10,0
198,both,VISal,eye,corr,40,10,20,20,0
199,both,VISal,eye,corr,40,10,20,40,0
200,both,VISal,eye,corr,40,10,40,5,0
201,both,VISal,eye,corr,40,10,40,10,0
202,both,VISal,eye,corr,40,10,40,20,0
203,both,VISal,eye,corr,40,10,40,40,0
204,both,VISal,eye,corr,40,15,10,5,0
205,both,VISal,eye,corr,40,15,10,10,0
206,both,VISal,eye,corr,40,15,10,20,0
207,both,VISal,eye,corr,40,15,10,40,0
208,both,VISal,eye,corr,40,15,20,5,0
209,both,VISal,eye,corr,40,15,20,10,0
210,both,VISal,eye,corr,40,15,20,20,0
211,both,VISal,eye,corr,40,15,20,40,0
212,both,VISal,eye,corr,40,15,40,5,0
213,both,VISal,eye,corr,40,15,40,10,0
214,both,VISal,eye,corr,40,15,40,20,0
